序号,代码,名称,市场代码简称,最新价(元) 2026.04.30,涨跌幅(%) 2026.04.30,证券类型,低位 2026.04.30,个股题材,申万行业分类,主力净额合计 2026.04.28 - 2026.04.30,东财行业总分类,概念,涨跌额(元) 2026.04.30,最高价(元) 2026.04.30,最低价(元) 2026.04.30,换手率(%) 2026.04.30,量比 2026.04.30,成交量(股) 2026.04.30,成交额(元) 2026.04.30,市盈率(动)(倍) 2026.04.30,市净率(倍) 2026.04.30,总市值(元) 2026.04.30,流通市值(元) 2026.04.30
1555,002941,新疆交建,SZ,13.90,-2.04,A股,符合,PPP、西部大开发、内循环、一带一路、ETC、新疆振兴、新疆自贸、算力概念、水利建设、区域经济、工程建设、新藏铁路,建筑装饰-基础建设-基建市政工程,-9431.99万,建筑装饰-基础建设-基建市政工程,融资融券、PPP模式、西部大开发、新疆振兴、深股通、水利建设、商业航天、AI智能体、工程建设、小盘股、铁路基建、土地流转、智慧灯杆、卫星导航、ETC、一带一路、央国企改革、人工智能、富时罗素、2025年报预增、小盘成长、风能、新型城镇化,-0.290,14.15,13.83,1.82,0.80,1326.26万,1.85亿,-159.58,2.1640,101.44亿,101.44亿
1556,603185,弘元绿能,SH,21.71,-1.27,A股,符合,发电机概念、光伏设备、晶硅、太阳能、第三代半导体、绿色电力、光伏、反内卷概念、新能源,电力设备-光伏设备-硅料硅片,-9517.72万,电力设备-光伏设备-光伏主材,专精特新、融资融券、光伏硅片、工业母机、2025年报扭亏、第三代半导体、沪股通、硅能源、标准普尔、反内卷概念、小盘价值、TOPCON电池、光伏概念、小盘股、高端装备、富时罗素、破增发价股,-0.280,22.19,21.62,1.98,0.80,1341.22万,2.93亿,-12.75,1.2566,148.30亿,147.42亿
1557,002138,顺络电子,SZ,33.95,-3.47,A股,符合,智能无人机、5G概念、ai应用、消费电子、深圳特区、AI智能体、华为概念、小米概念、AI芯片、被动元件、电路、端侧、人工智能、物联网、AI手机、ai服务器、广东自贸、移动支付、智能终端、一体成型电感、SOFC概念、AI眼镜、算力概念、soc芯片、无人机、区域经济、ChatGPT概念、苹果概念、PCB、电子材料、国产替代、ai算力、智能驾驶、传感器、5G-A,电子-元件-被动元件,-9573.56万,电子-元件-被动元件,国产芯片、中盘股、5G概念、昨日高振幅、燃料电池概念、新能源车、标准普尔、深圳特区、深成500、华为概念、小米概念、通信技术、消费电子概念、电池技术、创投、智能穿戴、固态电池、CPO概念、富时罗素、无线充电、物联网、MSCI中国、6G概念、移动支付、融资融券、AI眼镜、深股通、无人机、中证500、养老金、被动元件概念、PCB、数据中心、光伏概念、6G元器件、传感器、汽车电子、SOFC,-1.220,35.60,33.34,7.35,2.59,5561.59万,18.93亿,38.47,4.3085,273.75亿,256.83亿
1558,603200,上海洗霸,SH,62.03,0.13,A股,符合,钠离子电池、低空经济、环保设备、席位、华为概念、数据中心、液冷服务器、消毒剂、污水处理、硫化物、固态电池材料、固态电池、腾讯概念、新材料、电池概念、硫化锂、骨架膜,环保-环境治理-水务及水治理,-9575.32万,环保-环境治理-水务及水治理,钠离子电池、飞行汽车(eVTOL)、低空经济、海工装备、液冷概念、沪股通、华为概念、数据中心、动力系统、小盘股、电池技术、消毒剂、污水处理、固态电池、腾讯概念、锂电池概念、2025年报预增、小盘成长、风能,0.080,62.99,61.36,2.70,0.57,474.36万,2.96亿,1463.29,9.8981,108.85亿,108.85亿
1559,601727,上海电气,SH,8.08,1.76,A股,符合,ai应用、沿海排头兵、水电、新型工业化、钍基熔盐堆、发电机概念、光刻、充电、绿色甲醇、机器人概念、人造太阳、众擎、深海经济、燃气轮机、工业机器人、绿色电力、数据中心、电源设备、太阳能、风电、智能电网、沪企改革、长江经济带、工业母机、燃料电池、新能源车、风电设备、固态电池、核能核电、光刻机、分拆预期、核电概念、电池概念、寒潮、人工智能、并购重组、雅下水电、储能、化债(AMC)概念、钒电池、大飞机、装配建筑、虚拟电厂、光伏、新能源、氢能源、供给侧改革、可控核聚变、人形机器人、一带一路、制造业、水轮机概念,电力设备-其他电源设备Ⅱ-综合电力设备商,-9607.69万,电力设备-其他电源设备Ⅱ-综合电力设备商,真空室、燃料电池概念、机体结构、新型工业化、钍基熔盐堆、通用航空、独角兽、富时罗素、机器人概念、航空发动机、融资融券、行业龙头、储能变流器、特高压、光伏概念、超导概念、智能电网、磁体、沪企改革、工业母机、绿色氢氨醇、证金持股、工业互联、标准普尔、节能环保、华为概念、电池技术、固废处理、变压器、固态电池、储能概念、核能核电、央国企改革、2025年报预增、MSCI中国、化债(AMC)概念、钒电池、大飞机、充电桩、装配建筑、虚拟电厂、沪股通、超超临界发电、大盘股、核污染防治、减速器轴承、新能源、氢能源、人形机器人、可控核聚变、一带一路、锂电池概念、高端装备、电池设备、风能、减速器、特斯拉概念,0.140,8.09,7.99,1.05,1.36,1.33亿,10.66亿,82.51,2.2875,1255.64亿,1019.34亿
1560,000032,深桑达Ａ,SZ,17.34,-2.53,A股,符合,国资云概念、ai应用、洁净室概念、洁净室、元宇宙概念、深圳特区、AI医疗、AI智能体、AI芯片、试验区落地、信创、算力租赁、manus、DeepSeek概念、珠江经济带、人工智能、数据要素、云计算、广东自贸、数字孪生、低空经济、智谱AI概念、算力概念、华为云、批发零售业、一体机、区域经济、LED、智慧城市、grok3、数据要素概念、数据中心、英伟达概念、数据确权、一带一路、高铁、折叠屏、智谱AI、大数据、RDA概念股,建筑装饰-专业工程-其他专业工程,-9610.96万,建筑装饰-专业工程-其他专业工程,国资云概念、国产芯片、LED概念、乡村振兴、数字经济、柔性屏(折叠屏)、深圳特区、深成500、AI智能体、AI应用、国产操作系统、阿里概念、华为鲲鹏、数据要素、智慧政务、融资融券、低空经济、体育产业、绿色电力、商业航天、数据中心、铁路基建、数据确权、智能医疗、碳中和、大数据、粤港澳大湾区、专精特新、东数西算、元宇宙概念、工业互联、数字乡村、工程建设、低空基建、信创、中芯概念、算力租赁、央国企改革、DeepSeek概念、人工智能、AI语料、云计算、数据安全、安防概念、数字孪生、智谱AI概念、深股通、算力概念、中证500、智慧城市、小盘股、可控核聚变、一带一路、中特估、抖音概念(字节概念)、高铁、小盘成长、生物质能发电、智谱AI,-0.450,17.83,17.24,1.74,1.17,1981.75万,3.45亿,-63.93,2.8526,210.71亿,197.32亿
1561,600862,中航高科,SH,20.00,0.10,A股,符合,军工、长征十二号甲、深海经济、大飞机、工业母机、低空经济、贸易战、军工装备、航天航空、商业航天、小米机器人、军民融合、创投、新材料、可控核聚变、独角兽、成飞概念、低轨卫星,国防军工-航空装备Ⅱ-航空装备Ⅲ,-9657.97万,国防军工-航空装备Ⅱ-航空装备Ⅲ,中盘股、工业母机、航天航空、参股新三板、创投、央国企改革、独角兽、碳纤维、通用航空、中字头、MSCI中国、军工、大飞机、飞行汽车(eVTOL)、航空发动机、低空经济、融资融券、关键材料、无人机、上证380、中证500、商业航天、沪股通、新材料、人形机器人、高端装备、高铁、长江三角,0.020,20.27,19.89,1.40,0.84,1944.28万,3.90亿,27.76,3.5134,278.61亿,278.61亿
1562,002368,太极股份,SZ,17.24,-10.02,A股,符合,国资云概念、阿里云、DRG/DIP、数字经济、军工装备、ai应用、工业互联网、水利建设、AI智能体、华为概念、军民融合、试验区落地、信创、华为昇腾、DeepSeek概念、国产操作系统、人工智能、数据要素、云计算、军工、智慧政务、低空经济、数字货币、算力概念、华为云、银河麒麟、一体机、智慧城市、grok3、网络安全、数据要素概念、国产替代、ai算力、华为鸿蒙、国产软件、数据确权、财税数字化、腾讯云、云电脑、阿里巴巴概念、大数据,计算机-IT服务Ⅱ-IT服务Ⅲ,-9668.71万,计算机-IT服务Ⅱ-IT服务Ⅲ,国资云概念、国产芯片、鸿蒙概念、数字经济、雅下水电概念、深成500、AI智能体、新型工业化、电力物联网、AI应用、国产操作系统、无人驾驶、富时罗素、物联网、阿里概念、华为鲲鹏、数据要素、智慧政务、融资融券、AIGC概念、体育产业、网络安全、小盘价值、数据中心、财税数字化、智能医疗、大数据、跨境支付、DRG/DIP、东数西算、海南自贸、水利建设、工业互联、数字乡村、标准普尔、华为概念、军民融合、信创、互联网金融、央国企改革、DeepSeek概念、人工智能、云计算、军工信息化、数据安全、安防概念、创新医疗服务、数字孪生、雄安新区、数字货币、深股通、养老金、智慧城市、互联网服务、小盘股、国产软件、中特估、时空大数据、网约车、汽车电子,-1.920,17.78,17.24,4.59,3.17,2845.91万,4.94亿,-22.45,2.7004,107.45亿,106.93亿
1563,000902,新洋丰,SZ,15.24,-2.93,A股,符合,极目、固态电池、供给侧改革、农业种植、低空经济、农业供改、大豆、化肥、化工、磷化工,基础化工-农化制品-复合肥,-9870.08万,基础化工-农化制品-复合肥,融资融券、乡村振兴、化肥、深股通、转债标的、磷矿、数字乡村、标准普尔、深成500、农村电商、小盘价值、小盘股、生态农业、氟化工概念、农业种植、磷酸铁锂、大豆、锂电池概念、磷化工、富时罗素,-0.460,15.74,15.21,1.58,1.03,1799.99万,2.77亿,9.59,1.5548,191.22亿,174.16亿
1564,300115,长盈精密,SZ,33.25,4.23,A股,符合,国产芯片、5G概念、燃料电池、贸易战、AIPC、ai应用、消费电子、电子烟、宇树机器人、新能源车、灵巧手、深圳特区、铜缆高速连接、特斯拉供应商、AI智能体、小米概念、华为概念、AI芯片、智能穿戴、固态电池、人工智能、齿轮、机器人概念、AI手机、储能、广东自贸、智能终端、华为海思、AI眼镜、华为云、华为机器人、区域经济、口罩、苹果概念、英伟达概念、智元机器人、华为鸿蒙、人形机器人、小米汽车、meta、智能驾驶、VR&AR、折叠屏、减速器、白马股、无线耳机、特斯拉概念,电子-消费电子-消费电子零部件及组装,-1.00亿,电子-消费电子-消费电子零部件及组装,国产芯片、中盘股、两岸合作、AIPC、燃料电池概念、3D打印、柔性屏(折叠屏)、深圳特区、深成500、铜缆高速连接、新型工业化、宁德时代概念、智能穿戴、富时罗素、机器人概念、融资融券、华为汽车、液冷概念、无人机、中盘成长、苹果概念、卫星导航、无线耳机、粤港澳大湾区、5G概念、东数西算、电子烟、新能源车、小米概念、华为概念、通信技术、消费电子概念、电池技术、储能概念、混合现实、PEEK材料概念、MSCI中国、AI手机、AI眼镜、深股通、充电桩、虚拟现实、中证500、养老金、氢能源、人形机器人、锂电池概念、海峡两岸、创业板综、减速器、传感器、特斯拉概念,1.350,33.47,31.77,3.94,1.27,5344.07万,17.58亿,90.36,5.3276,452.64亿,451.31亿
1565,688280,精进电动-W,SH,7.28,-11.86,A股,符合,科创板成分股、小米汽车、新能源车、无人驾驶、汽车零部件,汽车-汽车零部件-底盘与发动机系统,-1.00亿,汽车-汽车零部件-底盘与发动机系统,专精特新、融资融券、2025年报扭亏、比亚迪概念、新能源车、无人驾驶、破发股、两轮车、减速器、汽车电子,-0.980,7.99,7.07,16.92,3.95,8806.83万,6.50亿,-11.75,6.6629,42.97亿,37.90亿
1566,600905,三峡能源,SH,4.09,-0.24,A股,符合,钠离子电池、深海经济、电力供改、新能源车、钠离子、算力芯片、绿色电力、算电协同、光伏、水电、碳交易、新能源、风电设备、供给侧改革、太阳能、风电、钠电池、抽水蓄能、水轮机概念、电力行业、绿色甲醇、雅下水电、储能,公用事业-电力-风力发电,-1.00亿,公用事业-电力-风力发电,钠离子电池、钒电池、融资融券、新能源发电、上证180_、沪股通、绿色电力、大盘股、碳交易、光热发电、新能源、华为概念、光伏概念、电池技术、氢能源、HS300_、储能概念、央国企改革、大盘价值、抽水蓄能、MSCI中国、风能、碳中和,-0.010,4.10,4.07,0.48,1.01,1.38亿,5.64亿,28.10,1.3032,1169.23亿,1169.23亿
1567,600765,中航重机,SH,15.95,1.98,A股,符合,军工、PEEK轻量化材料、深海经济、火箭发射、大飞机、燃气轮机、低空经济、海工装备、军工装备、航天航空、精密制造、新能源车、航天发动机、商业航天、军民融合、国产航母、火箭回收、国产替代、关税、风电、成飞概念,国防军工-航空装备Ⅱ-航空装备Ⅲ,-1.01亿,国防军工-航空装备Ⅱ-航空装备Ⅲ,中盘股、海工装备、西部大开发、航天航空、3D打印、标准普尔、军民融合、核能核电、央国企改革、中字头、航母概念、MSCI中国、机器人概念、破增发价股、成飞概念、军工、中盘价值、大飞机、飞行汽车(eVTOL)、环锻、航空发动机、低空经济、融资融券、无人机、上证380、中证500、蓝箭航天、商业航天、沪股通、新能源、高端装备、汽车热管理、风能,0.310,16.08,15.67,1.28,0.98,1993.89万,3.18亿,39.19,1.7260,247.62亿,247.62亿
1568,300638,广和通,SZ,22.45,-0.22,A股,符合,抖音豆包、区块链、5G概念、车联网(车路云)、ai应用、深圳特区、AI智能体、华为概念、AI芯片、光通信、rokid、边缘计算、sim、DeepSeek概念、端侧、无人驾驶、人工智能、物联网、脑机接口、eSIM、机器人概念、AI手机、稳定币概念、广东自贸、6G概念、移动支付、低空经济、AI眼镜、算力概念、华为云、soc芯片、智能座舱、区域经济、无线通信模组、ChatGPT概念、国产替代、lpu、智能芯片、玄铁、人形机器人、光纤概念、智能驾驶、grok、阿里巴巴概念、儿童玩具,通信-通信设备-通信终端及配件,-1.01亿,通信-通信设备-通信终端及配件,粤港澳大湾区、专精特新、区块链、5G概念、车联网(车路云)、东数西算、贬值受益、新能源车、工业互联、宠物经济、深圳特区、深成500、AI智能体、AI芯片、通信技术、消费电子概念、边缘计算、DeepSeek概念、毫米波概念、人工智能、富时罗素、物联网、阿里概念、机器人概念、电网概念、移动支付、融资融券、低空经济、AI眼镜、深股通、虚拟电厂、智能座舱、商业航天、小盘股、机器视觉、卫星导航、人形机器人、比亚迪概念、智能电网、海峡两岸、创业板综、WiFi6、汽车电子,-0.050,22.62,22.21,2.47,0.61,1310.90万,2.94亿,522.14,3.2317,201.89亿,119.09亿
1569,603105,芯能科技,SH,9.73,-2.60,A股,符合,光伏设备、太阳能、虚拟电厂、新质生产力、充电、电力行业、绿色电力、光伏、芯片制造、光伏建筑一体化,公用事业-电力-光伏发电,-1.02亿,公用事业-电力-光伏发电,光伏概念、融资融券、共同富裕示范区、新能源发电、充电桩、虚拟电厂、转债标的、沪股通、绿色电力、长江三角、电网概念、光伏建筑一体化,-0.260,10.00,9.63,5.19,0.90,2596.13万,2.53亿,531.44,2.2638,48.65亿,48.65亿
1570,002317,众生药业,SZ,18.39,-0.16,A股,符合,长寿药(NMN)、广东自贸、甲流、熊去氧胆酸、病毒防治、区域经济、禽流感、肝炎概念、仿制药一致性评价、流感、医疗健康、人工智能、辅助生殖、医保目录、减肥药、创新药、脑机接口、幽门螺杆菌概念、传统中药,医药生物-中药Ⅱ-中药Ⅲ,-1.05亿,医药生物-中药Ⅱ-中药Ⅲ,粤港澳大湾区、数字经济、病毒防治、标准普尔、仿制药一致性评价、医药电商、中药概念、眼科医疗、辅助生殖、富时罗素、创新药、NMN概念、融资融券、医疗器械概念、2025年报扭亏、深股通、GLP-1制剂、禽流感、养老概念、肝炎概念、小盘股、猴痘概念、流感、长寿药、病原体防治、减肥药、智能医疗、幽门螺杆菌概念、维生素,-0.030,18.79,18.18,3.35,0.85,2548.09万,4.70亿,39.14,3.7571,156.30亿,140.06亿
1571,000887,中鼎股份,SZ,17.40,-0.57,A股,符合,燃料电池、军工装备、宇树机器人、新能源车、AI智能体、华为概念、液冷服务器、独角兽、汽车零部件、人工智能、充电、机器人概念、医疗器械、充电运营、军工、PEEK轻量化材料、飞行汽车(eVTOL)、华为汽车、液冷概念、算力概念、华为机器人、密封、人形机器人、内循环、小米汽车、比亚迪概念、医疗健康、智能驾驶、医疗美容、高铁、汽车热管理、减速器、机器人执行器、汽车电子、特斯拉概念,汽车-汽车零部件-其他汽车零部件,-1.06亿,汽车-汽车零部件-其他汽车零部件,中盘股、新能源车、燃料电池概念、标准普尔、深成500、宁德时代概念、长安汽车概念、电池技术、算力租赁、毫米波概念、无人驾驶、富时罗素、机器人概念、军工、中盘价值、飞行汽车(eVTOL)、医疗器械概念、融资融券、低空经济、华为汽车、液冷概念、充电桩、深股通、无人机、中证500、数据中心、铁路基建、人形机器人、比亚迪概念、高铁、汽车热管理、减速器、机器人执行器、传感器、汽车电子、特斯拉概念,-0.100,17.65,17.29,1.37,0.84,1795.34万,3.13亿,17.79,1.5632,229.07亿,228.70亿
1572,001696,宗申动力,SZ,17.36,0.06,A股,符合,极目、火箭发射、智能无人机、民航局、燃料电池、乡村振兴、军工装备、新能源车、航天发动机、华为概念、军民融合、亿航智能、成渝特区、发电机概念、地摊经济、人工智能、交运设备、进口博览会、军工、飞行汽车(eVTOL)、低空经济、设备更新、无人机、商业航天、氢能源、汽车一体化压铸、东盟自贸区概念,机械设备-通用设备-其他通用设备,-1.07亿,机械设备-通用设备-其他通用设备,钠离子电池、专精特新、中盘股、西部大开发、乡村振兴、数字经济、新能源车、燃料电池概念、工业互联、标准普尔、深成500、军民融合、电池技术、发电机概念、成渝特区、2025三季报预增、储能概念、地摊经济、农机、通用航空、交运设备、富时罗素、无线充电、2025年报预增、机器人概念、军工、航空发动机、飞行汽车(eVTOL)、低空经济、融资融券、深股通、无人机、中证500、商业航天、两轮车、动力系统、氢能源、汽车一体化压铸、锂电池概念、比亚迪概念,0.010,17.44,17.28,1.61,0.48,1437.16万,2.49亿,28.95,3.5765,198.78亿,154.74亿
1573,002312,川发龙蟒,SZ,10.95,-2.14,A股,符合,锂电池、锂动力电池、农业种植、磷酸铁锂、化肥、化工、磷化工、锂矿概念,基础化工-农化制品-磷肥及磷化工,-1.08亿,基础化工-农化制品-磷肥及磷化工,融资融券、西部大开发、乡村振兴、化肥、化工原料、深股通、磷矿、中证500、数字乡村、深成500、农村电商、小盘股、电池技术、农业种植、磷酸铁锂、锂电池概念、央国企改革、磷化工、股权激励、小金属概念、锂矿概念,-0.240,11.23,10.87,1.88,0.74,3547.53万,3.90亿,57.01,2.1312,206.70亿,206.28亿
1574,300758,七彩化学,SZ,13.32,-2.70,A股,符合,钠离子电池、半导体材料、化工、钠离子、钙钛矿电池、染料、m9材料、光刻胶,基础化工-化学制品-涂料油墨,-1.10亿,基础化工-化学制品-涂料油墨,电池技术、钠离子电池、国产芯片、光伏概念、专精特新、深股通、AI应用、创业板综、钙钛矿电池、2025年报预减、染料、光刻机(胶),-0.370,13.81,13.23,4.89,0.61,1760.06万,2.36亿,84.05,2.9747,53.16亿,47.92亿
1575,688798,艾为电子,SH,67.61,1.70,A股,符合,国产芯片、华为海思、科创板成分股、半导体、ai应用、AI眼镜、华为Mate、消费电子、算力概念、soc芯片、AI智能体、小米概念、AI芯片、华为概念、英伟达概念、国产替代、电路、星闪概念、模拟芯片、DeepSeek概念、人工智能、智能科技、AI手机,电子-半导体-模拟芯片设计,-1.11亿,电子-半导体-模拟芯片设计,国产芯片、专精特新、融资融券、5G概念、AI眼镜、转债标的、贬值受益、沪股通、半导体概念、小米概念、华为概念、小盘股、智能穿戴、消费电子概念、卫星导航、比亚迪概念、抖音概念(字节概念)、汽车芯片、MCU芯片、小盘成长、物联网、AI手机、机器人概念,1.130,67.88,65.87,2.47,0.83,335.25万,2.24亿,77.18,3.7070,157.62亿,91.78亿
1576,000892,欢瑞世纪,SZ,4.96,1.43,A股,符合,成渝特区、manus、阶跃星辰、AI漫剧、人工智能、文化传媒、短剧互动游戏、短剧概念,传媒-影视院线-影视动漫制作,-1.12亿,传媒-影视院线-影视动漫制作,西部大开发、深股通、AIGC概念、短剧互动游戏、AI智能体、红果短剧、成渝特区、虚拟数字人、AI应用、人工智能、谷子经济、影视概念、文娱消费、破增发价股,0.070,5.04,4.83,5.67,0.69,4028.25万,2.00亿,-30.47,8.0533,48.66亿,35.26亿
1577,300182,捷成股份,SZ,5.60,-0.88,A股,符合,抖音豆包、多模态AI、字节概念、ai应用、元宇宙概念、文化传媒、短剧互动游戏、短剧概念、AI智能体、华为概念、华为昇腾、manus、AI应用、在线教育、DeepSeek概念、人工智能、国产操作系统、AI语料、Sora概念、数据要素、超清视频、AI漫剧、AIGC概念、智慧教育、华为盘古、ChatGPT概念、知识产权、文生视频、广电概念、国产软件、Web3.0、虚拟数字人、NFT概念、grok、VR&AR、谷子经济、智谱AI、大数据,传媒-影视院线-影视动漫制作,-1.12亿,传媒-影视院线-影视动漫制作,多模态AI、数字经济、元宇宙概念、短剧互动游戏、深成500、AI智能体、华为概念、小米概念、腾讯概念、华为昇腾、AI应用、百度概念、DeepSeek概念、在线教育、人工智能、富时罗素、AI语料、网红经济、影视概念、阿里概念、Sora概念、数据要素、军工信息化、融资融券、深股通、虚拟现实、超清视频、AIGC概念、华为盘古、ChatGPT概念、知识产权、快手概念、小盘价值、小盘股、红果短剧、国产软件、Web3.0、虚拟数字人、NFT概念、创业板综、抖音概念(字节概念)、谷子经济、文娱消费,-0.050,5.68,5.57,3.38,0.60,7627.16万,4.27亿,33.03,1.7527,149.17亿,126.52亿
1578,002249,大洋电机,SZ,9.38,2.96,A股,符合,军工、广东自贸、稀土永磁、燃料电池、外骨骼机器人、新能源车、区域经济、电机、数据中心、氢能源、人形机器人、航天概念、独角兽、充电、机器人概念、充电运营、众擎,电力设备-电机Ⅱ-电机Ⅲ,-1.12亿,电力设备-电机Ⅱ-电机Ⅲ,国产芯片、粤港澳大湾区、融资融券、充电桩、深股通、新能源车、燃料电池概念、高股息精选、AIGC概念、标准普尔、深成500、小盘价值、数据中心、长安汽车概念、小盘股、氢能源、电池技术、储能概念、人形机器人、比亚迪概念、股权激励、富时罗素、风能、机器人概念,0.270,9.53,9.24,3.68,2.01,6849.04万,6.44亿,19.34,2.2792,231.25亿,174.61亿
1579,300619,金银河,SZ,41.03,-2.31,A股,符合,广东自贸、锂动力电池、装配建筑、新能源车、钠离子、区域经济、锂电池、固态电池材料、固态电池、新材料、电池概念、电力行业、有机硅、锂矿概念、储能电池、稀有金属,电力设备-电池-锂电专用设备,-1.13亿,电力设备-电池-锂电专用设备,钠离子电池、粤港澳大湾区、专精特新、2025年报扭亏、深股通、装配建筑、新能源车、硅能源、电池技术、光伏概念、固态电池、锂电池概念、有机硅概念、创业板综、高端装备、小金属概念、电池设备,-0.970,42.16,40.94,4.90,0.45,718.09万,2.97亿,-123.23,4.5201,71.39亿,60.10亿
1580,600481,双良节能,SH,6.08,-0.98,A股,符合,光伏设备、晶硅、工业互联网、第三代半导体、液冷服务器、石英、电路、半导体设备、HIT电池、物联网、绿色甲醇、储能、液冷概念、制氢、算力概念、spacex、太空光伏、超超临界发电、绿色电力、光伏、碳交易、反内卷概念、氢能源、多晶硅、太阳能,电力设备-光伏设备-硅料硅片,-1.13亿,电力设备-光伏设备-硅料硅片,数据中心液冷、专精特新、绿色氢氨醇、转债标的、工业互联、第三代半导体、节能环保、储能概念、核能核电、DeepSeek概念、物联网、融资融券、光伏硅片、液冷概念、沪股通、超超临界发电、硅能源、碳交易、光热发电、反内卷概念、小盘价值、数据中心、光伏概念、小盘股、氢能源、HJT电池、高端装备、碳中和,-0.060,6.15,6.01,2.28,0.82,4711.67万,2.86亿,-7.95,2.8910,125.50亿,125.50亿
1581,000425,徐工机械,SZ,9.95,-3.40,A股,符合,外骨骼机器人、贸易战、乡村振兴、西部大开发、军工装备、上合组织、工业互联网、新能源车、盾构机概念、沿海排头兵、水电、人工智能、雅下水电、地震、机器人概念、军工、应急管理、设备更新、智能制造、设备制造、新藏铁路、国产替代、关税、人形机器人、一带一路、制造业、农机概念、工程机械、墨脱水电站,机械设备-工程机械-工程机械整机,-1.13亿,机械设备-工程机械-工程机械整机,乡村振兴、深证100R、昨日高振幅、证金持股、新能源车、工业互联、雅下水电概念、标准普尔、深成500、HS300_、农机、央国企改革、人工智能、无人驾驶、富时罗素、MSCI中国、机器人概念、军工、中越经济一体化、融资融券、深股通、工程机械概念、大盘股、氢能源、一带一路、大盘价值、高端装备、中欧经济一体化,-0.350,10.50,9.86,1.75,1.45,1.57亿,15.84亿,14.21,1.8655,1168.99亿,896.42亿
1582,300624,万兴科技,SZ,63.92,-2.16,A股,符合,多模态AI、西部大开发、应用概念、数字经济、ai应用、通义千问、短剧概念、AI智能体、AI芯片、AI应用、阶跃星辰、国产操作系统、机器人概念、Sora概念、网红直播、华为云、AIGC概念、区域经济、ChatGPT概念、电商概念、国产替代、Web3.0、软件服务、谷歌概念、阿里巴巴概念、大数据、影石全景相机、抖音豆包、MCP概念、元宇宙概念、鸿蒙PC、华为概念、小红书概念、创投、信创、manus、算力租赁、在线教育、DeepSeek概念、人工智能、数据安全、算力概念、西藏概念、AI漫剧、智慧教育、一体机、grok3、文生视频、Kimi智能助手、lpu、华为鸿蒙、国产软件、电子商务概念、人形机器人、虚拟数字人、VR&AR,计算机-软件开发-横向通用软件,-1.13亿,计算机-软件开发-横向通用软件,多模态AI、鸿蒙概念、西部大开发、数字经济、贬值受益、元宇宙概念、AI智能体、Kimi概念、华为概念、小红书概念、创投、信创、AI应用、百度概念、智能家居、DeepSeek概念、在线教育、人工智能、AI制图、富时罗素、网红经济、物联网、阿里概念、机器人概念、AI办公、Sora概念、数据安全、融资融券、深股通、虚拟现实、AIGC概念、ChatGPT概念、云办公、小盘股、电商概念、国产软件、Web3.0、虚拟数字人、创业板综、小盘成长,-1.410,65.64,63.68,4.61,0.92,788.88万,5.06亿,-64.39,12.6544,123.58亿,109.45亿
1583,601606,长城军工,SH,37.62,0.45,A股,符合,军工、军工信息化、军工装备、新能源车、商业航天、兵器装备集团、兵装重组、军民融合,国防军工-地面兵装Ⅱ-地面兵装Ⅲ,-1.14亿,国防军工-地面兵装Ⅱ-地面兵装Ⅲ,军工、中盘股、融资融券、2025年报扭亏、央国企改革、军贸、新能源车、沪股通、军民融合、兵装重组概念、安徽三资改革,0.170,37.69,37.33,1.05,0.64,759.07万,2.85亿,-122.34,12.4855,272.45亿,272.45亿
1584,601800,中国交建,SH,7.01,-0.85,A股,符合,深海经济、雄安新区、海工装备、低空经济、西部大开发、海南自贸、盾构机概念、水利建设、北莫走廊、工程建设、HALO概念、反内卷概念、新藏铁路、建筑业、东盟自贸区概念、内循环、一带一路、风电、海上回收、高铁、央企国企改革、港口航运、雅下水电、新型城镇化,建筑装饰-基础建设-基建市政工程,-1.16亿,建筑装饰-基础建设-基建市政工程,海工装备、上证180_、证金持股、水利建设、长期破净、雅下水电概念、标准普尔、AI智能体、工程建设、HS300_、中马经济一体化、核能核电、央国企改革、中字头、富时罗素、MSCI中国、雄安新区、融资融券、行业龙头、商业航天、沪股通、参股券商、大盘股、碳交易、铁路基建、一带一路、中特估、大盘价值、中欧经济一体化、高铁、风能,-0.060,7.06,6.99,0.24,0.86,2797.56万,1.96亿,6.95,0.3917,1140.85亿,826.04亿
1585,002129,TCL中环,SZ,8.66,0.46,A股,符合,光伏设备、晶硅、IGBT概念、新能源车、石英、半导体材料、中芯概念、人工智能、HIT电池、地震、军工、华为海思、spacex、智能制造、绿色电力、光伏、苹果概念、反内卷概念、新能源、国产替代、关税、多晶硅、一带一路、太阳能、芯片制造、大数据,电力设备-光伏设备-硅料硅片,-1.18亿,电力设备-光伏设备-硅料硅片,国产芯片、中盘股、IGBT概念、新能源车、滨海新区、标准普尔、深成500、TOPCON电池、中芯概念、富时罗素、MSCI中国、破增发价股、中盘价值、BC电池、融资融券、光伏硅片、深股通、太空光伏、硅能源、商业航天、绿色电力、半导体概念、苹果概念、蓝宝石、反内卷概念、新能源、光伏概念、新材料、HJT电池、一带一路、中欧经济一体化、半导体硅片、TOPCon电池,0.040,8.73,8.55,1.43,0.94,5760.12万,4.98亿,-5.32,1.7501,350.13亿,349.84亿
